target_rejection,val_balanced_error,val_worst_group_error,val_coverage,val_head_error,val_tail_error,val_tail_minus_head,test_balanced_error,test_worst_group_error,test_coverage,test_head_error,test_tail_error,test_tail_minus_head,alpha_head,alpha_tail,mu_head,mu_tail,cost_val,cost_test
0.0,0.46919884783129884,0.5600000432877781,0.999000072479248,0.37839765237481965,0.5600000432877781,0.18160239091295843,0.4786492137391989,0.5648077239655526,1.0,0.3924907035128452,0.5648077239655526,0.17231702045270736,1.9400074333784052,0.05999241247372958,0.0,15.0,3.2129058837890625,6.587977409362793
0.1,0.4309505847097437,0.5058907915655606,0.8990000486373901,0.3560103778539267,0.5058907915655606,0.1498804137116339,0.4420033508336937,0.5217697772975506,0.9000000357627869,0.3622369243698368,0.5217697772975506,0.1595328529277138,1.8170471065485971,0.0498951972880953,0.0,20.5,1.0607625246047974,1.0691187381744385
0.2,0.39244764078684197,0.47106763140072616,0.800000011920929,0.3138276501729578,0.47106763140072616,0.1572399812277684,0.399941508276762,0.4809319963380679,0.800000011920929,0.3189510202154562,0.4809319963380679,0.1619809761226117,1.6340735915503228,0.045437141251869956,0.0,23.25,0.8591610193252563,0.8417754173278809
0.3,0.3452750498162139,0.4132443330645957,0.7000000476837158,0.27730576656783207,0.4132443330645957,0.1359385664967636,0.3611153693044912,0.43320693992950465,0.7000000476837158,0.28902379867947775,0.43320693992950465,0.1441831412500269,1.498442861272049,0.03713191495838079,0.0,18.5,1.0884451866149902,1.0414164066314697
0.4,0.2938945868395515,0.34047760823404805,0.6000000238418579,0.2473115654450549,0.34047760823404805,0.09316604278899315,0.3219742487790341,0.3916924925590451,0.6000000238418579,0.25225600499902306,0.3916924925590451,0.13943648756002203,1.3344528895376655,0.031367365459384546,0.0,18.5,1.0507011413574219,1.0169792175292969
0.5,0.23555841884642795,0.25110456923970625,0.5010000467300415,0.22001226845314964,0.25110456923970625,0.031092300786556615,0.27727429506245954,0.3307892252922403,0.5001250505447388,0.22375936483267878,0.3307892252922403,0.10702986045956153,1.1389145242975824,0.025871693882305688,0.0,23.25,0.9237649440765381,0.8761649131774902
0.6,0.20262178255248672,0.2395480310021921,0.4010000228881836,0.16569553410278134,0.2395480310021921,0.07385249689941076,0.2401117650525842,0.296810497254611,0.40012502670288086,0.1834130328505574,0.296810497254611,0.1133974644040536,1.0271178988500114,0.01831071084843785,0.0,12.0,1.306851863861084,1.2394332885742188
0.7,0.15030587685687494,0.16693680580110484,0.30100002884864807,0.13367494791264503,0.16693680580110484,0.03326185788845981,0.1857945104766804,0.22256391763268404,0.30012500286102295,0.14902510332067678,0.22256391763268404,0.07353881431200726,0.8229620155134412,0.012355309832131102,0.0,8.75,1.359165906906128,1.3008673191070557
0.8,0.11353628508635791,0.12828573019523348,0.20100000500679016,0.12828573019523348,0.09878683997748232,-0.029498890217751164,0.11600015591560722,0.12323233292139212,0.20012500882148743,0.10876797890982233,0.12323233292139212,0.014464354011569786,0.5288249840953008,0.009506113997335953,0.0,19.0,0.8117742538452148,0.7197647094726562
