target_rejection,test_balanced_error,test_worst_group_error,test_coverage,test_head_error,test_tail_error,test_tail_minus_head,beta_head,beta_tail,alpha_head,alpha_tail,mu_head,mu_tail,cost_test
0.0,0.4982645248650131,0.5030000339936375,1.0,0.49352901573638874,0.5030000339936375,0.00947101825724872,0.2663924976003988,0.7336075023996013,0.9697644265464707,0.030235676407986592,0.0,1.0,10.43303108215332
0.1,0.4584704254334372,0.4734275970033647,0.9230501708984375,0.44351325386350965,0.4734275970033647,0.029914343139855026,0.2879971415417241,0.7120028584582759,0.884326203020813,0.027204085425927248,0.0,14.0,0.3811740577220917
0.2,0.4153881054919328,0.4292188854035662,0.845057373046875,0.4015573255802994,0.4292188854035662,0.02766155982326679,0.29906377081692903,0.7009362291830709,0.8056090875824514,0.023839639474632787,0.0,12.75,0.41066911816596985
0.3,0.37348763473786023,0.3887952667012272,0.7653452758789062,0.35818000277449324,0.3887952667012272,0.03061526392673397,0.3287440178355478,0.6712559821644523,0.7341436598307256,0.01947486152030949,0.0,11.0,0.47912928462028503
0.4,0.32793759838940023,0.3454249694331638,0.673830322265625,0.31045022734563665,0.3454249694331638,0.034974742087527155,0.34893468692655827,0.6510653130734417,0.656486972957263,0.01656615177946102,0.0,11.0,0.4540941119194031
0.5,0.2776133809533564,0.3258139215873186,0.5767182006835937,0.22941284031939418,0.3258139215873186,0.0964010812679244,0.4311662093035147,0.5688337906964854,0.5549686029719024,0.014771571489711952,0.0,11.5,0.4065030813217163
0.6,0.22861254745659468,0.2642885647243115,0.4803229064941406,0.19293653018887785,0.2642885647243115,0.07135203453543365,0.4612040604313662,0.5387959395686337,0.44789174471087134,0.012867134941649209,0.0,12.5,0.32140660285949707
0.7,0.17188510531647175,0.1802600573264136,0.3927802734375,0.1635101533065299,0.1802600573264136,0.016749904019883688,0.3603093210283799,0.63969067897162,0.3734097483373631,0.009041120047828968,0.0,8.25,0.4327567219734192
0.8,0.11202819922434834,0.1243969068299173,0.2742129211425781,0.09965949161877939,0.1243969068299173,0.02473741521113791,0.4879411425943442,0.5120588574056558,0.2598964520468692,0.006201300905131228,0.0,7.75,0.3113354444503784
0.9,0.0380312977242428,0.03826826394970723,0.1412890625,0.03779433149877837,0.03826826394970723,0.00047393245092886005,0.5245656932735352,0.47543430672646486,0.14062483328937467,0.002981785659747482,0.0,6.0,0.2026994228363037
