preset,status,feature_dim,total_features,per_expert_count,global_count,per_expert_features,global_features,balanced_acc,val_loss,baseline_balanced_error,baseline_head_error,baseline_tail_error,plugin_balanced_aurc_balanced,plugin_balanced_aurc_worst_group,plugin_balanced_test_balanced_error_r0,plugin_balanced_test_head_error_r0,plugin_balanced_test_tail_error_r0,plugin_worst_aurc_balanced,plugin_worst_aurc_worst_group,plugin_worst_test_balanced_error_r0,plugin_worst_test_head_error_r0,plugin_worst_test_tail_error_r0,enabled_features,train_log_file,plugin_balanced_log_file,plugin_worst_log_file
all,success,24,10,7,3,"entropy, topk_mass, residual_mass, max_probs, top_gap, cosine_sim, kl_to_mean","mean_entropy, mean_class_var, std_max_conf",0.478,1.9455,0.5378,0.3142783975435881,0.761269304598397,0.2620639279572566,0.3056444082530932,0.511310435234524,0.5622362534684863,0.4603846170005618,0.21851237900570952,0.23061640484248383,0.4798133151956615,0.4776266115484078,0.48200001884291516,"FeatureConfig(per_expert=[entropy, topk_mass, residual_mass, max_probs, top_gap, cosine_sim, kl_to_mean], global=[mean_entropy, mean_class_var, std_max_conf], top_k=5)",results\ablation_feature_study_complete\logs\train_cifar100_lt_if100_all_20251127_080519.log,results\ablation_feature_study_complete\logs\plugin_balanced_cifar100_lt_if100_all_20251127_080546.log,results\ablation_feature_study_complete\logs\plugin_worst_cifar100_lt_if100_all_20251127_080630.log
per_expert_only,success,21,7,7,0,"entropy, topk_mass, residual_mass, max_probs, top_gap, cosine_sim, kl_to_mean",,0.494,1.9217,0.5355,0.31355849393762075,0.7574230582025819,0.260809850879286,0.30305841374766596,0.5105500430934701,0.5607868823577528,0.4603132038291874,0.2186431186275647,0.2298077221431838,0.4758124026724534,0.46712479000320895,0.4845000153416978,"FeatureConfig(per_expert=[entropy, topk_mass, residual_mass, max_probs, top_gap, cosine_sim, kl_to_mean], global=[none], top_k=5)",results\ablation_feature_study_complete\logs\train_cifar100_lt_if100_per_expert_only_20251127_080952.log,results\ablation_feature_study_complete\logs\plugin_balanced_cifar100_lt_if100_per_expert_only_20251127_081015.log,results\ablation_feature_study_complete\logs\plugin_worst_cifar100_lt_if100_per_expert_only_20251127_081057.log
global_only,success,3,3,0,3,,"mean_entropy, mean_class_var, std_max_conf",0.495,1.8977,0.5391,0.3151444652081721,0.7629999881595195,0.2654463246129504,0.3130110928798166,0.5129017768043849,0.5666496781622213,0.45915387544654845,0.23383443123193368,0.26364064105903623,0.48048840239806523,0.47789984332823676,0.48307696146789364,"FeatureConfig(per_expert=[none], global=[mean_entropy, mean_class_var, std_max_conf], top_k=5)",results\ablation_feature_study_complete\logs\train_cifar100_lt_if100_global_only_20251127_081412.log,results\ablation_feature_study_complete\logs\plugin_balanced_cifar100_lt_if100_global_only_20251127_081432.log,results\ablation_feature_study_complete\logs\plugin_worst_cifar100_lt_if100_global_only_20251127_081516.log
uncertainty_only,success,8,4,2,2,"entropy, max_probs","mean_entropy, std_max_conf",0.494,1.9164,0.5362,0.31303697831134264,0.759423080865007,0.26478561929912997,0.3096884631104656,0.5109748274786756,0.5618726994733564,0.4600769554839949,0.23579069124689117,0.2645898495724114,0.4787927601454899,0.47539322095752246,0.48219229933345736,"FeatureConfig(per_expert=[entropy, max_probs], global=[mean_entropy, std_max_conf], top_k=5)",results\ablation_feature_study_complete\logs\train_cifar100_lt_if100_uncertainty_only_20251127_081702.log,results\ablation_feature_study_complete\logs\plugin_balanced_cifar100_lt_if100_uncertainty_only_20251127_081713.log,results\ablation_feature_study_complete\logs\plugin_worst_cifar100_lt_if100_uncertainty_only_20251127_081731.log
agreement_only,success,7,3,2,1,"cosine_sim, kl_to_mean",mean_class_var,0.46,1.979,0.5593,0.3263293504728467,0.7922692739150013,0.26619731662480056,0.3125007514549354,0.5152560422336738,0.568435169979425,0.46207691448792276,0.22354457313212545,0.23721164051496996,0.4882547597003173,0.4890479516268066,0.487461567773828,"FeatureConfig(per_expert=[cosine_sim, kl_to_mean], global=[mean_class_var], top_k=5)",results\ablation_feature_study_complete\logs\train_cifar100_lt_if100_agreement_only_20251127_081915.log,results\ablation_feature_study_complete\logs\plugin_balanced_cifar100_lt_if100_agreement_only_20251127_081926.log,results\ablation_feature_study_complete\logs\plugin_worst_cifar100_lt_if100_agreement_only_20251127_081944.log
minimal,success,6,2,2,0,"entropy, max_probs",,0.501,1.9013,0.5324,0.3121792161378208,0.7526154411833045,0.26107592612704006,0.30396552360744516,0.5108729795998583,0.5628563338807407,0.4588896253189758,0.2346390419920296,0.2658632227094908,0.47858704517219375,0.4770433081022582,0.48013078224212935,"FeatureConfig(per_expert=[entropy, max_probs], global=[none], top_k=5)",results\ablation_feature_study_complete\logs\train_cifar100_lt_if100_minimal_20251127_082111.log,results\ablation_feature_study_complete\logs\plugin_balanced_cifar100_lt_if100_minimal_20251127_082120.log,results\ablation_feature_study_complete\logs\plugin_worst_cifar100_lt_if100_minimal_20251127_082136.log
confidence_only,success,13,5,4,1,"topk_mass, residual_mass, max_probs, top_gap",std_max_conf,0.497,1.9255,0.5326,0.312565327091631,0.752692340647822,0.26337642797034755,0.30809779544498467,0.5132841338255121,0.5673374609107097,0.45923080674031447,0.22060390321301612,0.23342345066836134,0.4792891145166097,0.47673204094858773,0.4818461880846317,"FeatureConfig(per_expert=[topk_mass, residual_mass, max_probs, top_gap], global=[std_max_conf], top_k=5)",results\ablation_feature_study_complete\logs\train_cifar100_lt_if100_confidence_only_20251127_082301.log,results\ablation_feature_study_complete\logs\plugin_balanced_cifar100_lt_if100_confidence_only_20251127_082310.log,results\ablation_feature_study_complete\logs\plugin_worst_cifar100_lt_if100_confidence_only_20251127_082325.log
